Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dominican Republic,7.5,7.6,7.8,7.9,8,8.2,8.3,8.5,8.6,8.8,8.9,9,9.2,9.3,9.4,9.6,9.7,9.8,10,,
Ecuador,11,11,11,12,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,,
Egypt,57,58,59,60,61,62,64,65,67,68,70,71,73,74,76,77,79,80,82,,
El Salvador,5.3,5.4,5.5,5.6,5.6,5.7,5.8,5.8,5.9,5.9,5.9,5.9,6,6,6,6,6,6.1,6.1,,
Equatorial Guinea,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,,
Eritrea,--,3.4,3.6,3.7,3.8,4,4.1,4.2,4.3,4.5,4.7,4.9,5.1,5.2,5.4,5.5,5.6,5.8,5.9,,
Estonia,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,,
Ethiopia,53,54,56,57,59,61,63,64,66,68,70,72,74,77,79,81,84,86,89,,
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fiji,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,,
Finland,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,,
France,59,60,60,60,60,61,61,61,62,62,62,63,63,63,64,64,65,65,65,,
French Guiana,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
French Polynesia,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,
Gabon,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,,
"Gambia, The",1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,,
Georgia,5.2,5.1,5,4.9,4.9,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,,
Germany,81,81,82,82,82,82,82,82,82,82,83,82,82,82,82,82,82,82,81,NA,NA
Ghana,17,17,17,18,18,18,19,19,19,20,20,21,21,22,22,23,23,24,24,,
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Greece,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Grenada,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
Guadeloupe,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,,
Guam,,,,,,,,,,,,,,,,,,,,,
Guatemala,9.5,9.8,10,10,10,11,11,11,11,12,12,12,12,12,13,13,13,14,14,,
Guinea,7,7.2,7.4,7.7,7.8,7.9,8.2,8.4,8.4,8.5,8.8,9,9.2,9.3,9.6,9.8,10,10,11,,
Guinea-Bissau,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,,
Guyana,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,,
Haiti,7.2,7.4,7.6,7.7,7.9,8.1,8.2,8.4,8.6,8.7,8.9,9,9.2,9.4,9.5,9.6,9.8,9.6,9.7,,
Honduras,5.2,5.4,5.6,5.7,5.9,6,6.2,6.4,6.5,6.7,6.9,7,7.2,7.4,7.5,7.7,7.8,8,8.1,,
Hong Kong,5.9,6.1,6.2,6.4,6.5,6.5,6.6,6.7,6.7,6.8,6.8,6.9,6.9,6.9,7,7,7.1,7.1,7.1,,
Hungary,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Iceland,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,
India,887,904,921,938,955,972,989,1006,1023,1040,1057,1074,1091,1108,1124,1141,1157,1173,1189,,
Indonesia,192,195,198,202,205,208,212,215,218,221,223,226,229,232,235,238,241,243,246,,
Iran,63,63,64,65,66,67,68,69,70,70,71,71,72,73,74,75,76,77,78,,
Iraq,18,19,20,20,21,21,22,23,23,24,25,25,26,27,28,28,29,30,30,,
Ireland,3.6,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.6,4.7,,
Israel,7.2,7.5,7.9,8.2,5.7,5.8,6,6.1,6.3,6.4,6.5,6.6,6.7,6.9,7,7.1,7.2,7.4,7.5,,
Italy,57,57,57,57,57,58,58,58,58,58,58,59,59,59,60,60,60,61,61,,
Jamaica,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.9,,
Japan,125,125,125,126,126,126,127,127,127,127,128,128,128,128,128,128,128,128,127,,
Jordan,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.6,6,6.1,6.3,6.4,6.5,,
Kazakhstan,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,,
Kenya,26,26,27,28,29,29,30,31,31,32,33,34,35,36,37,39,40,41,42,,
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Kuwait,1.5,1.6,1.7,1.7,1.8,1.9,1.9,2,2,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.6,,
Kyrgyzstan,4.6,4.6,4.6,4.7,4.8,4.8,4.9,4.9,5,5,5.1,5.1,5.2,5.2,5.3,5.3,5.4,5.4,5.5,,
Laos,4.6,4.7,4.8,4.9,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.7,5.8,5.9,6,6.1,6.3,6.4,6.5,,
Latvia,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,,
Lebanon,3.6,3.6,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,4,4.1,4.1,4.1,,
Lesotho,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,,
Liberia,2,1.9,1.9,1.9,2.1,2.3,2.5,2.6,2.7,2.8,2.8,2.8,2.9,3.1,3.3,3.4,3.6,3.7,3.8,,
Libya,4.4,4.5,4.6,4.6,4.7,4.8,4.9,5,5.1,5.2,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,5.8,,
Lithuania,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,,
Luxembourg,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,
Macau,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,,
Macedonia,1.9,1.9,2,2,2,2,2,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1,,
Madagascar,13,13,14,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,,
Malawi,10,10,10,11,11,11,11,12,12,12,13,13,13,14,14,15,15,15,16,,
Malaysia,19,20,20,21,21,22,23,23,24,24,25,25,26,26,27,27,28,28,29,,
Maldives,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,,
Mali,9.1,9.3,9.5,9.7,9.9,10,10,11,11,11,12,12,13,13,13,14,14,15,15,,
Malta,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,
Martinique,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,
Mauritania,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.9,3,3.1,3.1,3.2,3.3,,
Mauritius,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,,
Mexico,90,91,93,94,96,97,99,100,101,102,104,105,106,107,109,110,111,112,114,,
Micronesia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
Moldova,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.1,4.1,4,4,3.9,3.9,3.9,3.8,3.8,3.7,3.7,,
Mongolia,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.9,2.9,3,3,3,3.1,3.1,,
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,0.7,0.7,0.7,0.7,0.7,0.7,,
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Morocco,25,26,26,27,27,27,28,28,28,29,29,30,30,30,31,31,31,32,32,,
Mozambique,14,15,16,16,17,17,18,18,18,19,19,20,20,21,21,21,22,22,23,,
Myanmar,42,43,44,45,45,46,47,47,48,49,49,50,51,51,52,52,53,53,54,,
Namibia,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1,,
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Nepal,21,21,22,23,23,24,24,25,25,26,26,27,27,27,28,28,29,29,29,,
Netherlands,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,NA,NA
Netherlands Antilles,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
New Caledonia,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,,
New Zealand,3.5,3.6,3.6,3.7,3.7,3.8,3.8,3.8,3.8,3.9,4,4,4,4.1,4.1,4.2,4.2,4.3,4.3,,
Nicaragua,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5,5.1,5.2,5.3,5.3,5.4,5.5,5.5,5.6,5.7,,
Niger,8.6,8.8,9.1,9.4,9.7,10,10,11,11,11,12,12,13,13,14,14,15,15,16,,
Nigeria,104,107,110,113,115,118,121,124,127,131,134,138,142,146,149,153,157,162,166,,
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
North Korea,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,24,,
Norway,4.3,4.3,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.7,4.7,4.7,,
Oman,2,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.9,2.9,3,3,,
Pakistan,128,131,134,138,141,145,148,152,157,160,163,166,169,172,175,178,181,184,187,,
Palestinian Territories,--,--,--,--,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,,
Panama,2.5,2.6,2.6,2.7,2.7,2.8,2.8,2.9,3,3,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.5,,
Papua New Guinea,4,4.1,4.2,4.3,4.4,4.6,4.7,4.8,4.9,5.1,5.2,5.3,5.4,5.6,5.7,5.8,5.9,6.1,6.2,,
Paraguay,4.6,4.7,4.8,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,,
Peru,23,23,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,,
Philippines,69,71,73,74,76,78,79,81,83,85,87,89,90,92,94,96,98,100,102,,
Poland,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38,38,,
Portugal,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Qatar,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,1,1.1,1.3,1.4,1.6,1.7,1.8,,
Reunion,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,
Romania,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,,
Russian Federation,148,149,149,149,148,148,148,147,146,146,145,144,143,143,142,142,142,143,143,,
Rwanda,7.6,6.5,5.5,6.5,7.6,8,8.2,8.4,8.6,8.9,9.1,9.4,9.6,9.9,10,10,11,11,11,,
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Lucia,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Saint Vincent/Grenadines,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
Samoa,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
Sao Tome and Principe,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
Saudi Arabia,18,18,19,19,20,20,21,21,22,22,23,23,24,24,24,25,25,26,26,,
Senegal,8,8.2,8.4,8.6,8.8,9,9.3,9.5,9.7,10,10,11,11,11,11,12,12,12,13,,
Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,9.3,9.2,7.4,7.4,7.3,7.3,,
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sierra Leone,4.1,4,3.9,3.8,3.8,3.7,3.7,3.8,4,4.3,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.4,,
Singapore,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,,
Slovakia,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,,
Slovenia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Solomon Islands,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,,
Somalia,6.1,6.3,6.4,6.6,6.8,7,7.2,7.5,7.8,8,8.3,8.5,8.8,9,9.2,9.5,9.6,9.8,9.9,,
South Africa,41,42,42,43,43,44,45,45,46,46,47,47,47,48,48,49,49,49,49,,
South Korea,44,45,45,45,46,46,46,47,47,47,48,48,48,48,48,48,49,49,49,,
Spain,40,40,40,40,40,40,40,41,41,42,42,43,44,44,45,46,46,47,47,,
Sri Lanka,17,18,18,18,18,19,19,19,19,19,20,20,20,20,21,21,21,21,21,,
Sudan,28,29,30,30,31,32,33,33,34,35,36,37,38,38,39,40,41,43,44,,
Suriname,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,,
Swaziland,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,,
Sweden,8.8,8.8,8.9,8.9,8.9,8.9,8.9,8.9,8.9,9,9,9,9,9,9,9,9.1,9.1,9.1,,
Switzerland,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.3,7.4,7.4,7.4,7.5,7.5,7.6,7.7,7.8,7.9,,
Syria,14,14,14,15,15,16,16,16,17,17,18,18,19,19,20,21,22,22,23,,
Taiwan,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,,
Tajikistan,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.5,6.6,6.7,6.8,6.9,7.1,7.2,7.3,7.5,7.6,,
Tanzania,27,28,29,30,30,31,32,33,34,35,36,37,38,40,41,42,43,44,46,,
Thailand,57,58,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,66,67,,
Timor-Leste (East Timor),--,--,--,--,--,--,--,--,--,--,1,1,1,1,1,1,1.1,1.1,1.1,,
Togo,4,4,4.2,4.4,4.6,4.7,4.9,5,5.1,5.3,5.4,5.6,5.7,5.9,6,6.2,6.4,6.6,6.8,,
Tonga,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
Trinidad and Tobago,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,
Tunisia,8.7,8.8,8.9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10,10,10,10,10,11,11,,
Turkey,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,,
Turkmenistan,3.9,4,4.1,4.1,4.2,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.7,4.7,4.8,4.8,4.9,4.9,5,,
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
U.S. Pacific Islands,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,
U.S. Territories,3.9,3.9,3.9,4,4,4,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4,4,4,4,4,NA,NA
Uganda,18,19,20,20,21,21,22,23,24,24,25,26,27,28,29,30,31,32,33,,
Ukraine,52,52,51,51,50,50,49,49,49,48,48,47,47,47,46,46,46,45,45,,
United Arab Emirates,2.2,2.3,2.5,2.6,2.7,2.9,3.1,3.2,3.4,3.6,3.7,3.9,4.1,4.3,4.4,4.6,4.8,5,5.1,,
United Kingdom,58,58,58,58,58,59,59,59,59,60,60,60,60,61,61,62,62,62,63,NA,NA
United States,260,263,266,269,273,276,279,282,285,288,290,293,296,298,301,304,307,309,312,,
Uruguay,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,,
Uzbekistan,22,23,23,24,24,24,25,25,25,26,26,26,27,27,27,27,28,28,28,,
Vanuatu,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,,
Venezuela,21,21,22,22,22,23,23,23,24,24,25,25,25,26,26,26,27,27,28,,
Viet Nam,71,73,74,75,76,77,78,79,80,81,82,83,84,85,87,88,89,90,91,,
"Virgin Islands,  U.S.",,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Wake Island,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,
Western Sahara,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,,
